,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
3636,231697,Central Virginia Community College,Lynchburg,VA,24502-2498,,2494.0,4726.0,
3637,231712,Christopher Newport University,Newport News,VA,23606-3072,0.7239,4950.0,13654.0,
3638,231721,Suffolk Beauty Academy,Suffolk,VA,23434-3020,,38.0,,
3639,231785,Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,23462,,475.0,17624.0,
3640,231828,Bryant & Stratton College-Richmond,North Chesterfield,VA,23235,,590.0,17288.0,
3641,231837,Radford University-Carilion,Roanoke,VA,24013,0.3922,771.0,25850.0,
3642,231873,Dabney S Lancaster Community College,Clifton Forge,VA,24422-1000,,650.0,4613.0,
3643,231882,Danville Community College,Danville,VA,24541-4004,,1612.0,4598.0,
3644,231970,Eastern Virginia Medical School,Norfolk,VA,23507,,,,
3645,232016,Centura College-Virginia Beach,Virginia Beach,VA,23452-7431,,150.0,15887.0,
3646,232025,Emory & Henry College,Emory,VA,24327-0947,0.7223,977.0,33700.0,
3647,232043,Eastern Mennonite University,Harrisonburg,VA,22802-2462,0.5373,1089.0,35800.0,
3648,232052,Eastern Shore Community College,Melfa,VA,23410,,406.0,4688.0,
3649,232089,Ferrum College,Ferrum,VA,24088-9000,0.7193,1122.0,33025.0,
3650,232186,George Mason University,Fairfax,VA,22030-4444,0.8132,24395.0,11924.0,
3651,232195,Germanna Community College,Locust Grove,VA,22508-2102,,5020.0,4801.0,
3652,232256,Hampden-Sydney College,Hampden-Sydney,VA,23943-0128,0.5505,1046.0,43940.0,
3653,232265,Hampton University,Hampton,VA,23668-0099,0.362,3786.0,25441.0,
